Municipio,Idhm,Latitude,Longitude
Recife,0.772,-8.0476,-34.8770
Olinda,0.735,-8.0089,-34.8553
Jaboatão dos Guararapes,0.717,-8.1803,-35.0014
Paulista,0.720,-7.9340,-34.8684
Cabo de Santo Agostinho,0.705,-8.2833,-35.0253
Ipojuca,0.682,-8.3930,-35.0662
Goiana,0.682,-7.5596,-35.0025
Caruaru,0.705,-8.2833,-35.9761
Toritama,0.676,-8.0067,-36.0528
Santa Cruz do Capibaribe,0.681,-7.9570,-36.2065
Bezerros,0.682,-8.2330,-35.8000
Gravatá,0.703,-8.2020,-35.5670
Pesqueira,0.667,-8.357,-36.697
Arcoverde,0.660,-8.418,-37.054
Garanhuns,0.677,-8.8903,-36.4963
Lajedo,0.662,-8.6639,-36.3213
Belo Jardim,0.684,-8.3310,-36.4250
São Bento do Una,0.660,-8.5276,-36.4453
Petrolina,0.713,-9.3891,-40.5027
Salgueiro,0.670,-8.073,-39.122
Serra Talhada,0.663,-7.987,-38.297
Afogados da Ingazeira,0.657,-7.7500,-37.6333
Araripina,0.678,-7.5779,-40.4956
Ouricuri,0.660,-7.8826,-40.0805
Cabrobó,0.659,-8.5144,-39.3100
Paudalho,0.674,-7.902,-35.179
Vitória de Santo Antão,0.685,-8.1180,-35.2970
